Domain,Mobile,Desktop,Web,IoT,Date_Difference,Expected Team Size,Expected Budget,Risk
1,1,1,1,0,-0.43714906004658904,1.554391091854864,0.6055743764798145,1
1,1,1,1,0,0.5853593363134032,0.0708186164230517,-0.5075383407251561,3
1,1,1,1,0,-0.0963129279265916,1.2576765967685015,0.5708270473097993,1
1,1,1,1,0,0.2445232041934058,0.6642476065957766,0.3072266191234768,2
1,1,1,0,0,1.1647807609173988,-0.8193248688360357,-0.4835746654354905,3
1,1,0,1,0,-0.5053162864705885,-0.07753863112012951,-0.49138682357992153,1
1,1,0,0,0,1.0966135344933994,-0.07753863112012951,-1.4660853523117832,3
1,0,1,0,0,-1.4596574564065812,0.5158903590525954,-0.6696765677350341,1
1,0,1,1,0,-0.8461524185905859,0.3675331115094142,-0.2729579233146189,1
1,0,1,1,0,-0.0963129279265916,-0.22589587866331076,-0.6273567171734845,1
1,0,1,1,1,2.085038317641392,-1.2643966114655794,0.5708270473097993,3
1,0,1,0,1,1.0625299212813997,0.9609621016821391,1.050100553103113,1
1,0,0,0,1,0.0741051381334071,-0.8193248688360357,-0.7471750936218129,1
1,1,1,1,0,-0.0963129279265916,-0.8193248688360357,-1.1079721887830194,3
1,1,1,1,0,-1.5278246828305808,0.5158903590525954,1.4685063236606755,1
1,0,1,0,0,0.005937911709407617,-0.5226103737496732,-0.19991664103171788,2
1,1,1,1,0,-1.6982427488905794,0.5158903590525954,-1.1643107893890234,3
1,1,0,1,1,-0.062229314714591866,-0.6709676212928545,1.3241491437157296,3
1,1,0,0,0,0.4149412702534045,-0.374253126206492,-0.3335380944468937,3
1,1,1,1,0,0.5512757231014035,1.1093193492253204,0.02869682123169267,3
1,1,0,0,0,-0.6757343525305872,1.554391091854864,0.7387644837397763,1
1,1,0,1,1,1.4715332798253964,-0.6709676212928545,-0.7324134696433788,3
1,0,1,0,1,-1.1188213242865839,-1.2643966114655794,0.7093131268087772,3
1,1,1,1,0,-0.0963129279265916,-0.8193248688360357,-1.1079721887830194,3
1,1,1,1,0,-1.5278246828305808,0.5158903590525954,1.4685063236606755,1
1,0,1,0,0,0.005937911709407617,-0.5226103737496732,-0.19991664103171788,2
1,1,1,1,0,-1.6982427488905794,0.5158903590525954,-1.1643107893890234,3
1,1,0,1,1,-0.062229314714591866,-0.6709676212928545,1.3241491437157296,3
1,1,0,0,0,0.4149412702534045,-0.374253126206492,-0.3335380944468937,3
1,1,1,1,0,0.5512757231014035,1.1093193492253204,0.02869682123169267,3
1,1,0,0,0,-0.6757343525305872,1.554391091854864,0.7387644837397763,1
1,1,0,1,1,1.4715332798253964,-0.6709676212928545,-0.7324134696433788,3
1,0,1,0,1,-1.1188213242865839,-1.2643966114655794,0.7093131268087772,3
1,1,1,0,0,1.3692824401893973,0.3675331115094142,1.3930447101735184,3
1,0,1,1,1,0.7216937891614021,1.554391091854864,0.6442517483973349,3
1,1,0,1,0,0.3808576570414048,0.6642476065957766,-1.144828321378525,3
1,0,1,1,1,-0.7098179657425869,1.1093193492253204,1.219811301504525,1
1,0,1,0,0,1.1988643741293985,-0.8193248688360357,0.45563366019237633,3
1,0,0,0,1,1.2329479873413982,0.8126048541389579,-1.1873878086929714,3
1,0,1,1,1,-0.8802360318025857,-0.9676821163792169,-1.2923247427864175,3
1,0,1,0,1,0.3808576570414048,-1.2643966114655794,-0.12323288010478772,3
1,1,1,1,0,1.7782857987333942,0.5158903590525954,1.625516324158565,3
1,1,0,1,1,2.153205544065391,-0.8193248688360357,-0.6884880528374216,3
1,1,0,1,1,1.130697147705399,1.554391091854864,-0.2279781047959164,3
1,0,1,0,0,0.48310849667740396,-1.2643966114655794,-0.7202399225962287,3
1,0,1,0,0,0.3808576570414048,-0.374253126206492,-0.3174345046522384,3
1,1,0,0,0,-1.6982427488905794,1.8511055869412265,-0.45175090465081447,1
1,1,0,1,1,2.1191219308533915,0.6642476065957766,-0.970444656295628,3
